Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date 
  
1,Pune,Khed(Chakan),Tomato,Other,FAQ,2500,3500,3000,21 Oct 2021  
2,Pune,Khed(Chakan),Tomato,Other,FAQ,2000,4000,3000,20 Oct 2021 
