Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date 
  
1,Pune,Pune(Khadiki),Tomato,Local,FAQ,1300,2900,1800,21 Oct 2021  
2,Pune,Pune(Khadiki),Tomato,Local,FAQ,1500,3000,2250,20 Oct 2021 
