Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date 
  
1,Pune,Maanachar,Tomato,Other,FAQ,1000,3000,2485,21 Oct 2021  
2,Pune,Maanachar,Tomato,Other,FAQ,1000,4000,2585,20 Oct 2021 
