Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date 
  
1,Pune,Pune(Pimpri),Tomato,Local,FAQ,3000,4000,3500,21 Oct 2021  
2,Pune,Pune(Pimpri),Tomato,Local,FAQ,3000,4200,3600,20 Oct 2021 
