Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date 
  
1,Pune,Pune,Tomato,Local,FAQ,1500,3500,2500,21 Oct 2021  
2,Pune,Pune,Tomato,Local,FAQ,1400,4000,2700,20 Oct 2021 
