Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date 
  
1,Pune,Pune(Manjri),Tomato,Other,FAQ,2700,4100,3600,21 Oct 2021  
2,Pune,Pune(Manjri),Tomato,Other,FAQ,2300,4000,3100,20 Oct 2021 
